name,team,league,games,at_bats,runs,hits,doubles,triples,home_runs,rbis,stolen,caught,walks,strikeout,hbp,sf,ibb,id
CJ Abrams*,TOT,NL,90,284,33,70,12,2,2,21,7,4,5,50,9,2,0,abramcj01
CJ Abrams*,SDP,NL,46,125,16,29,5,0,2,11,1,2,4,27,6,2,0,abramcj01
CJ Abrams*,WSN,NL,44,159,17,41,7,2,0,10,6,2,1,23,3,0,0,abramcj01
Albert Abreu,TOT,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,abreual01
Albert Abreu,KCR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,abreual01
José Abreu,CHW,AL,157,601,85,183,40,0,15,75,0,0,62,110,12,4,2,abreujo02
Ronald Acuna Jr.,ATL,NL,119,467,71,124,24,0,15,50,29,11,53,126,10,3,4,acunaro01
Willy Adames,MIL,NL,139,563,83,134,31,0,31,98,8,3,49,166,1,4,3,adamewi01
Riley Adams,WSN,NL,48,142,14,25,4,0,5,10,0,1,12,46,1,0,0,adamsri03
Jo Adell,LAA,AL,88,268,22,60,12,2,8,27,4,2,11,107,4,1,0,adelljo01
Ehire Adrianza#,TOT,NL,37,97,8,17,3,0,0,7,1,0,11,25,1,1,0,adriaeh01
Ehire Adrianza#,WSN,NL,31,84,5,15,2,0,0,7,1,0,8,22,1,1,0,adriaeh01
Ehire Adrianza#,ATL,NL,6,13,3,2,1,0,0,0,0,0,3,3,0,0,0,adriaeh01
Jesus Aguilar,TOT,MLB,129,464,39,109,19,0,16,51,1,0,28,119,4,5,1,aguilje01
Jesus Aguilar,MIA,NL,113,415,37,98,18,0,15,49,1,0,27,106,4,5,1,aguilje01
Jesus Aguilar,BAL,AL,16,49,2,11,1,0,1,2,0,0,1,13,0,0,0,aguilje01
Ryan Aguilar*,LAA,AL,7,22,2,3,1,0,0,2,0,0,2,14,1,1,0,aguilry01
Nick Ahmed,ARI,NL,17,52,7,12,2,0,3,7,0,1,2,15,0,0,0,ahmedni01
Hanser Alberto,LAD,NL,73,156,13,38,9,2,2,15,0,1,3,25,0,0,0,alberha01
Ozzie Albies#,ATL,NL,64,247,36,61,16,0,8,35,3,5,16,47,2,4,0,albieoz01
Sergio Alcantara#,TOT,NL,93,205,26,45,8,1,6,29,1,2,12,57,1,4,0,alcanse01
Sergio Alcantara#,ARI,NL,71,170,23,41,8,1,6,26,1,0,10,45,1,3,0,alcanse01
Sergio Alcantara#,SDP,NL,22,35,3,4,0,0,0,3,0,2,2,12,0,1,0,alcanse01
Scott Alexander*,SFG,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alexasc02
Jorge Alfaro,SDP,NL,82,256,25,63,14,0,7,40,1,0,11,98,4,3,0,alfarjo01
Anthony Alford,PIT,NL,2,4,0,1,0,0,0,0,0,0,0,2,0,0,0,alforan01
Austin Allen*,OAK,AL,5,14,1,1,0,0,0,0,0,0,1,9,1,0,0,allenau01
Greg Allen#,PIT,NL,46,118,17,22,4,0,2,8,8,2,10,42,2,1,0,allengr01
Nick Allen,OAK,AL,100,299,31,62,13,0,4,19,3,2,19,64,1,1,0,allenni02
Abraham Almonte#,BOS,AL,15,35,7,9,2,0,1,2,1,0,1,12,1,0,0,almonab01
Albert Almora,CIN,NL,64,215,26,48,10,1,5,29,3,2,17,46,1,1,0,almoral01
Pete Alonso,NYM,NL,160,597,95,162,27,0,40,131,5,1,67,128,12,9,16,alonspe01
Jose Altuve,HOU,AL,141,527,103,158,39,0,28,57,18,1,66,87,10,1,2,altuvjo01
Jose Alvarado*,PHI,NL,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,alvarjo03
Eddy Alvarez*,LAD,NL,14,25,1,4,0,0,0,3,1,0,0,9,0,1,0,alvared01
Francisco Álvarez,NYM,NL,5,12,3,2,1,0,1,1,0,0,2,4,0,0,0,alvarfr01
Yordan Alvarez*,HOU,AL,135,470,95,144,29,2,37,97,1,1,78,106,6,7,9,alvaryo01
Brian Anderson,MIA,NL,98,338,43,75,16,1,8,28,1,0,37,101,7,1,2,anderbr06
Tim Anderson,CHW,AL,79,332,50,100,13,0,6,25,13,0,14,55,5,0,1,anderti01
Tyler Anderson*,LAD,NL,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,anderty01
Elvis Andrus,TOT,AL,149,535,66,133,32,0,17,58,18,4,39,92,3,0,0,andruel01
Elvis Andrus,OAK,AL,106,354,41,84,24,0,8,30,7,4,30,62,2,0,0,andruel01
Elvis Andrus,CHW,AL,43,181,25,49,8,0,9,28,11,0,9,30,1,0,0,andruel01
Miguel Andujar,TOT,MLB,36,132,13,31,5,1,1,17,4,1,5,27,0,3,0,andujmi01
Miguel Andujar,NYY,AL,27,96,9,22,2,0,1,8,4,0,3,22,0,1,0,andujmi01
Miguel Andujar,PIT,NL,9,36,4,9,3,1,0,9,0,1,2,5,0,2,0,andujmi01
Mark Appel,PHI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,appelma01
Aristides Aquino,CIN,NL,80,259,24,51,13,0,10,30,2,3,17,101,0,0,0,aquinar01
Jonathan Aranda*,TBR,AL,32,78,10,15,4,0,2,6,0,0,8,23,1,0,1,arandjo01
Jonathan Arauz#,TOT,AL,15,38,3,5,0,0,1,5,0,0,1,12,0,1,0,arauzjo01
Jonathan Arauz#,BOS,AL,6,10,1,0,0,0,0,1,0,0,0,3,0,1,0,arauzjo01
Jonathan Arauz#,BAL,AL,9,28,2,5,0,0,1,4,0,0,1,9,0,0,0,arauzjo01
Orlando Arcia,ATL,NL,67,209,25,51,9,0,9,30,0,0,21,51,2,2,0,arciaor01
Nolan Arenado,STL,NL,148,557,73,163,42,1,30,103,5,3,52,72,7,4,3,arenano01
Gabriel Arias,CLE,AL,16,47,9,9,1,1,1,5,1,0,8,16,1,0,0,ariasga01
Randy Arozarena,TBR,AL,153,586,72,154,41,3,20,89,32,12,46,156,11,2,2,arozara01
Luis Arraez*,MIN,AL,144,547,88,173,31,1,8,49,4,4,50,43,3,3,2,arraelu01
Christian Arroyo,BOS,AL,87,280,32,80,16,1,6,36,5,1,13,49,3,2,2,arroych01
Willians Astudillo,MIA,NL,21,54,5,13,0,0,1,4,1,0,1,3,0,0,0,astudwi01
